RAM;Intel;ValueRAM;12000;4GB
RAM;Intel;MemoriaSuperXD;12000;4GB
RAM;Intel;HyperX;12000;4GB
RAM;Intel;RipjawsX;12000;4GB
RAM;Intel;Vengeance;12000;4GB
RAM;Ryzen;MemoriaSuper2;12000;16GB
RAM;Ryzen;XPG;12000;32GB
RAM;Ryzen;Spectrix;12000;64GB
RAM;Ryzen;Renegade;12000;12GB
RAM;Ryzen;Royal;12000;8GB
RAM;Ryzen;Toughram;12000;8GB
RAM;Kyngstone;HyperX;12000;4GB
RAM;Kyngstone;Sniper;12000;4GB
RAM;Kyngstone;Trident;12000;4GB
RAM;Kyngstone;Lancer;12000;4GB
RAM;Kyngstone;Impact;12000;4GB
RAM;Kyngstone;Ripjaws;12000;4GB
RAM;Kyngstone;ValueSelect;12000;4GB
RAM;Corsair;DOMINATOR;12000;8GB
RAM;Corsair;Vengeance;12000;48GB
RAM;Corsair;Vengeance;12000;46GB
RAM;Corsair;Vengeance;12000;42GB
RAM;Corsair;Vengeance;12000;16GB
RAM;Corsair;DOMINATOR;12000;8GB
RAM;Corsair;DOMINATOR;12000;12GB
Procesador;Intel;i7_8665U ;6066;1.90GHz
